Iteracion,Profit
0,-4432.26
100,-4432.26
200,-4432.26
300,-4432.26
400,-4432.26
500,-4432.26
600,-4432.26
700,-4432.26
800,-4432.26
900,-4432.26
1000,-4432.26
1100,-4432.26
1200,-4432.26
1300,-4432.26
1400,-4432.26
1500,-4432.26
1600,-4432.26
1700,-4432.26
1800,-4432.26
1900,-4432.26
2000,-4432.26
2100,-4432.26
2200,-4432.26
2300,-4432.26
2400,-4432.26
2500,-4432.26
2600,-4432.26
2700,-4432.26
2800,-4432.26
2900,-4432.26
3000,-4432.26
3100,-4432.26
3200,-4432.26
3300,-4432.26
3400,-4432.26
3500,-4432.26
3600,-4432.26
3700,-4432.26
3800,-4432.26
3900,-4432.26
4000,-4432.26
4100,-4432.26
4200,-4432.26
4300,-4432.26
4400,-4432.26
4500,-4432.26
4600,-4432.26
4700,-4432.26
4800,-4432.26
4900,-4432.26
5000,-4432.26
5100,-4432.26
5200,-4432.26
5300,-4432.26
5400,-4432.26
5500,-4432.26
5600,-4432.26
5700,-4432.26
5800,-4432.26
5900,-4432.26
6000,-4432.26
6100,-4432.26
6200,-4432.26
6300,-4432.26
6400,-4432.26
6500,-4432.26
6600,-4432.26
6700,-4432.26
6800,-4432.26
6900,-4432.26
7000,-4432.26
7100,-4432.26
7200,-4432.26
7300,-4432.26
7400,-4432.26
7500,-4432.26
7600,-4432.26
7700,-4432.26
7800,-4432.26
7900,-4432.26
8000,-4432.26
8100,-4432.26
8200,-4432.26
8300,-4432.26
8400,-4432.26
8500,-4432.26
8600,-4432.26
8700,-4432.26
8800,-4432.26
8900,-4432.26
9000,-4432.26
9100,-4432.26
9200,-4432.26
9300,-4432.26
9400,-4432.26
9500,-4432.26
9600,-4432.26
9700,-4432.26
9800,-4432.26
9900,-4432.26
10000,-4432.26
10100,-4432.26
10200,-4432.26
10300,-4432.26
10400,-4432.26
10500,-4432.26
10600,-4432.26
10700,-4432.26
10800,-4432.26
10900,-4432.26
11000,-4432.26
11100,-4432.26
11200,-4432.26
11300,-4432.26
11400,-4432.26
11500,-4432.26
11600,-4432.26
11700,-4432.26
11800,-4432.26
11900,-4432.26
12000,-4432.26
12100,-4432.26
12200,-4432.26
12300,-4432.26
12400,-4432.26
12500,-4432.26
12600,-4432.26
12700,-4432.26
12800,-4432.26
12900,-4432.26
13000,-4432.26
13100,-4432.26
13200,-4432.26
13300,-4432.26
13400,-4432.26
13500,-4432.26
13600,-4432.26
13700,-4432.26
13800,-4432.26
13900,-4432.26
14000,-4432.26
14100,-4432.26
14200,-4432.26
14300,-4432.26
14400,-4432.26
14500,-4432.26
14600,-4432.26
14700,-4432.26
14800,-4432.26
14900,-4432.26
15000,-4432.26
15100,-4432.26
15200,-4432.26
15300,-4432.26
15400,-4432.26
15500,-4432.26
15600,-4432.26
15700,-4432.26
15800,-4432.26
15900,-4432.26
16000,-4432.26
16100,-4432.26
16200,-4432.26
16300,-4432.26
16400,-4432.26
16500,-4432.26
16600,-4432.26
16700,-4432.26
16800,-4432.26
16900,-4432.26
17000,-4432.26
17100,-4432.26
17200,-4432.26
17300,-4432.26
17400,-4432.26
17500,-4432.26
17600,-4432.26
17700,-4432.26
17800,-4432.26
17900,-4432.26
18000,-4432.26
18100,-4432.26
18200,-4432.26
18300,-4432.26
18400,-4432.26
18500,-4432.26
18600,-4432.26
18700,-4432.26
18800,-4432.26
18900,-4432.26
19000,-4432.26
19100,-4432.26
19200,-4432.26
19300,-4432.26
19400,-4432.26
19500,-4432.26
19600,-4432.26
19700,-4432.26
19800,-4432.26
19900,-4432.26
20000,-4432.26
20100,-4432.26
20200,-4432.26
20300,-4432.26
20400,-4432.26
20500,-4432.26
20600,-4432.26
20700,-4432.26
20800,-4432.26
20900,-4432.26
21000,-4432.26
21100,-4432.26
21200,-4432.26
21300,-4432.26
21400,-4432.26
21500,-4432.26
21600,-4432.26
21700,-4432.26
21800,-4432.26
21900,-4432.26
22000,-4432.26
22100,-4432.26
22200,-4432.26
22300,-4432.26
22400,-4432.26
22500,-4432.26
22600,-4432.26
22700,-4432.26
22800,-4432.26
22900,-4432.26
23000,-4432.26
23100,-4432.26
23200,-4432.26
23300,-4432.26
23400,-4432.26
23500,-4432.26
23600,-4432.26
23700,-4432.26
23800,-4432.26
23900,-4432.26
24000,-4432.26
24100,-4432.26
24200,-4432.26
24300,-4432.26
24400,-4432.26
24500,-4432.26
24600,-4432.26
24700,-4432.26
24800,-4432.26
24900,-4432.26
25000,-4432.26
25100,-4432.26
25200,-4432.26
25300,-4432.26
25400,-4432.26
25500,-4432.26
25600,-4432.26
25700,-4432.26
25800,-4432.26
25900,-100620.77
26000,-86299.18
26100,-79613.05
26200,-74272.35
26300,-99433.16
26400,-85790.30
26500,-62352.73
26600,-77567.05
26700,-76711.91
26800,-94520.54
26900,-75594.52
27000,-75594.52
27100,-91098.14
27200,-62282.83
27300,-59981.40
27400,-57235.74
27500,-57235.74
27600,-57235.74
27700,-57235.74
27800,-57235.74
27900,-57235.74
28000,-57235.74
28100,-57235.74
28200,-57235.74
28300,-57235.74
28400,-57235.74
28500,-57235.74
28600,-57235.74
28700,-57235.74
28800,-57235.74
28900,-57235.74
29000,-57235.74
29100,-57235.74
29200,-57235.74
29300,-57235.74
29400,-57235.74
29500,-57235.74
29600,-57235.74
29700,-57235.74
29800,-57235.74
29900,-57235.74
30000,-57235.74
30100,-57235.74
30200,-57235.74
30300,-57235.74
30400,-57235.74
30500,-57235.74
30600,-57235.74
30700,-57235.74
30800,-57235.74
30900,-57235.74
31000,-57235.74
31100,-57235.74
31200,-57235.74
31300,-57235.74
31400,-57235.74
31500,-57235.74
31600,-57235.74
31700,-57235.74
31800,-57235.74
31900,-57235.74
32000,-57235.74
32100,-57235.74
32200,-57235.74
32300,-46799.35
32400,-46799.35
32500,-46799.35
32600,-46799.35
32700,-46799.35
32800,-46799.35
32900,-46799.35
33000,-46799.35
33100,-46799.35
33200,-46799.35
33300,-46799.35
33400,-46799.35
33500,-46799.35
33600,-46799.35
33700,-46799.35
33800,-46799.35
33900,-46799.35
34000,-46799.35
34100,-46799.35
34200,-46799.35
34300,-46799.35
34400,-46799.35
34500,-46799.35
34600,-46799.35
34700,-46799.35
34800,-46799.35
34900,-46799.35
35000,-46799.35
35100,-46799.35
35200,-46799.35
35300,-46799.35
35400,-46799.35
35500,-46799.35
35600,-46799.35
35700,-46799.35
35800,-46799.35
35900,-46799.35
36000,-46799.35
36100,-46799.35
36200,-46799.35
36300,-46799.35
36400,-46799.35
36500,-46799.35
36600,-46799.35
36700,-46799.35
36800,-46799.35
36900,-46799.35
37000,-46799.35
37100,-46799.35
37200,-46799.35
37300,-46799.35
37400,-46799.35
37500,-46799.35
37600,-46799.35
37700,-46799.35
37800,-46799.35
37900,-46799.35
38000,-46799.35
38100,-46799.35
38200,-46799.35
38300,-46799.35
38400,-46799.35
38500,-46799.35
38600,-46799.35
38700,-46799.35
38800,-46799.35
38900,-46799.35
39000,-46799.35
39100,-46799.35
39200,-46799.35
39300,-46799.35
39400,-46799.35
39500,-46799.35
39600,-46799.35
39700,-46799.35
39800,-46799.35
39900,-46799.35
40000,-46799.35
40100,-46799.35
40200,-46799.35
40300,-46799.35
40400,-46799.35
40500,-46799.35
40600,-46799.35
