Iteracion,Profit
0,31450.14
100,31450.14
200,31450.14
300,31450.14
400,31450.14
500,31450.14
600,31450.14
700,31450.14
800,31450.14
900,31450.14
1000,31450.14
1100,31450.14
1200,31450.14
1300,31450.14
1400,31450.14
1500,31450.14
1600,31450.14
1700,31450.14
1800,31450.14
1900,31450.14
2000,31450.14
2100,31450.14
2200,31450.14
2300,31450.14
2400,31450.14
2500,31450.14
2600,31450.14
2700,31450.14
2800,31450.14
2900,31450.14
3000,31450.14
3100,31450.14
3200,31450.14
3300,31450.14
3400,31450.14
3500,31450.14
3600,31450.14
3700,31450.14
3800,31450.14
3900,31450.14
4000,31450.14
4100,31450.14
4200,31450.14
4300,31450.14
4400,31450.14
4500,31450.14
4600,31450.14
4700,31450.14
4800,31450.14
4900,31450.14
5000,31450.14
5100,31450.14
5200,31450.14
5300,31450.14
5400,31450.14
5500,31450.14
5600,31450.14
5700,31450.14
5800,31450.14
5900,31450.14
6000,31450.14
6100,31450.14
6200,31450.14
6300,31450.14
6400,31450.14
6500,31450.14
6600,31450.14
6700,31450.14
6800,31450.14
6900,31450.14
7000,31450.14
7100,31450.14
7200,31450.14
7300,31450.14
7400,31450.14
7500,31450.14
7600,31450.14
7700,31450.14
7800,31450.14
7900,31450.14
8000,31450.14
8100,31450.14
8200,31450.14
8300,31450.14
8400,31450.14
8500,31450.14
8600,31450.14
8700,31450.14
8800,31450.14
8900,31450.14
9000,31450.14
9100,31450.14
9200,31450.14
9300,31450.14
9400,31450.14
9500,31450.14
9600,31450.14
9700,31450.14
9800,31450.14
9900,31450.14
10000,31450.14
10100,31450.14
10200,31450.14
10300,31450.14
10400,31450.14
10500,31450.14
10600,31450.14
10700,31450.14
10800,31450.14
10900,31450.14
11000,31450.14
11100,31450.14
11200,31450.14
11300,31450.14
11400,31450.14
11500,31450.14
11600,31450.14
11700,31450.14
11800,31450.14
11900,31450.14
12000,31450.14
12100,31450.14
12200,31450.14
12300,31450.14
12400,31450.14
12500,31450.14
12600,31450.14
12700,31450.14
12800,31450.14
12900,31450.14
13000,31450.14
13100,31450.14
13200,31450.14
13300,31450.14
13400,31450.14
13500,31450.14
13600,31450.14
13700,31450.14
13800,31450.14
13900,31450.14
14000,31450.14
14100,31450.14
14200,31450.14
14300,31450.14
14400,31450.14
14500,31450.14
14600,31450.14
14700,31450.14
14800,31450.14
14900,31450.14
15000,31450.14
15100,31450.14
15200,31450.14
15300,31450.14
15400,31450.14
15500,31450.14
15600,31450.14
15700,31450.14
15800,31450.14
15900,31450.14
16000,31450.14
16100,31450.14
16200,31450.14
16300,31450.14
16400,31450.14
16500,31450.14
16600,31450.14
16700,31450.14
16800,31450.14
16900,31450.14
17000,31450.14
17100,31450.14
17200,31450.14
17300,31450.14
17400,31450.14
17500,31450.14
17600,31450.14
17700,31450.14
17800,31450.14
17900,31450.14
18000,31450.14
18100,31450.14
18200,31450.14
18300,31450.14
18400,31450.14
18500,31450.14
18600,31450.14
18700,31450.14
18800,31450.14
18900,31450.14
19000,31450.14
19100,31450.14
19200,31450.14
19300,31450.14
19400,31450.14
19500,31450.14
19600,31450.14
19700,31450.14
19800,31450.14
19900,31450.14
20000,31450.14
20100,31450.14
20200,31450.14
20300,31450.14
20400,31450.14
20500,31450.14
20600,31450.14
20700,31450.14
20800,31450.14
20900,31450.14
21000,31450.14
21100,31450.14
21200,31450.14
21300,31450.14
21400,31450.14
21500,31450.14
21600,31450.14
21700,31450.14
21800,31450.14
21900,31450.14
22000,31450.14
22100,31450.14
22200,31450.14
22300,28443.69
22400,29355.75
22500,30758.32
22600,31431.27
22700,31431.27
22800,32866.12
22900,33847.02
23000,34983.19
23100,35421.11
23200,35705.57
23300,35705.57
23400,38812.63
23500,38812.63
23600,38812.63
23700,38812.63
23800,38812.63
23900,38812.63
24000,38812.63
24100,38812.63
24200,38812.63
24300,38812.63
24400,38812.63
24500,38812.63
24600,38812.63
24700,38812.63
24800,38812.63
24900,38812.63
25000,38812.63
25100,38812.63
25200,38812.63
25300,38812.63
25400,38812.63
25500,38812.63
25600,38812.63
25700,38812.63
25800,38812.63
25900,38812.63
26000,38812.63
26100,38812.63
26200,38812.63
26300,38812.63
26400,38812.63
26500,38812.63
26600,38812.63
26700,38812.63
26800,38812.63
26900,38812.63
27000,38812.63
27100,38812.63
27200,38812.63
27300,38812.63
27400,38812.63
27500,38812.63
27600,38812.63
27700,38812.63
27800,38812.63
27900,38812.63
28000,38812.63
28100,38812.63
28200,38812.63
28300,38812.63
28400,38812.63
28500,38812.63
28600,38812.63
28700,38812.63
28800,38812.63
28900,38812.63
29000,38812.63
29100,38812.63
29200,38812.63
29300,38812.63
29400,38812.63
29500,38812.63
29600,38812.63
29700,38812.63
29800,38812.63
29900,38812.63
30000,38812.63
30100,38812.63
30200,38812.63
30300,38812.63
30400,38812.63
30500,38812.63
30600,38812.63
30700,38812.63
30800,38812.63
30900,38812.63
31000,38812.63
31100,38812.63
31200,38812.63
31300,38812.63
31400,38812.63
31500,38812.63
31600,38812.63
31700,38812.63
31800,38812.63
31900,38812.63
32000,38812.63
32100,38812.63
32200,38812.63
32300,38812.63
32400,38812.63
32500,38812.63
32600,38812.63
32700,38812.63
32800,38812.63
32900,38812.63
33000,38812.63
33100,38812.63
33200,38812.63
33300,38812.63
33400,38812.63
33500,38812.63
33600,38812.63
33700,38812.63
33800,38812.63
33900,38812.63
34000,38812.63
34100,38812.63
34200,38812.63
34300,38812.63
34400,38812.63
34500,38812.63
34600,38812.63
34700,38812.63
34800,38812.63
34900,38812.63
35000,38812.63
35100,38812.63
35200,38812.63
35300,38812.63
35400,38812.63
35500,38812.63
35600,38812.63
35700,38812.63
35800,38812.63
35900,38812.63
36000,38812.63
36100,38812.63
36200,38812.63
36300,38812.63
36400,38812.63
36500,38812.63
36600,38812.63
36700,38812.63
36800,38812.63
36900,38812.63
37000,38812.63
37100,38812.63
37200,38812.63
37300,38812.63
37400,38812.63
37500,38812.63
37600,38812.63
37700,38812.63
37800,38812.63
37900,38812.63
38000,38812.63
38100,38812.63
38200,38812.63
38300,38812.63
38400,38812.63
38500,38812.63
38600,38812.63
38700,38812.63
38800,38812.63
38900,38812.63
39000,38812.63
39100,38812.63
39200,38812.63
39300,38812.63
39400,38812.63
39500,38812.63
39600,38812.63
39700,38812.63
39800,38812.63
39900,38812.63
40000,38812.63
40100,38812.63
40200,38812.63
40300,38812.63
40400,38812.63
40500,38812.63
40600,38812.63
40700,38812.63
