Iteracion,Profit
0,55.86
100,55.86
200,55.86
300,55.86
400,55.86
500,55.86
600,55.86
700,55.86
800,55.86
900,55.86
1000,55.86
1100,55.86
1200,55.86
1300,55.86
1400,55.86
1500,55.86
1600,55.86
1700,55.86
1800,55.86
1900,55.86
2000,55.86
2100,55.86
2200,55.86
2300,55.86
2400,55.86
2500,55.86
2600,55.86
2700,55.86
2800,55.86
2900,55.86
3000,55.86
3100,55.86
3200,55.86
3300,55.86
3400,55.86
3500,55.86
3600,55.86
3700,55.86
3800,55.86
3900,55.86
4000,55.86
4100,55.86
4200,55.86
4300,55.86
4400,55.86
4500,55.86
4600,55.86
4700,55.86
4800,55.86
4900,55.86
5000,55.86
5100,55.86
5200,55.86
5300,55.86
5400,55.86
5500,55.86
5600,55.86
5700,55.86
5800,55.86
5900,55.86
6000,55.86
6100,55.86
6200,55.86
6300,55.86
6400,55.86
6500,55.86
6600,55.86
6700,55.86
6800,55.86
6900,55.86
7000,55.86
7100,55.86
7200,55.86
7300,55.86
7400,55.86
7500,55.86
7600,55.86
7700,55.86
7800,55.86
7900,55.86
8000,55.86
8100,55.86
8200,55.86
8300,55.86
8400,55.86
8500,55.86
8600,55.86
8700,55.86
8800,55.86
8900,55.86
9000,55.86
9100,55.86
9200,55.86
9300,55.86
9400,55.86
9500,55.86
9600,55.86
9700,55.86
9800,55.86
9900,55.86
10000,55.86
10100,55.86
10200,55.86
10300,55.86
10400,55.86
10500,55.86
10600,55.86
10700,55.86
10800,55.86
10900,55.86
11000,55.86
11100,55.86
11200,55.86
11300,55.86
11400,55.86
11500,55.86
11600,55.86
11700,55.86
11800,55.86
11900,55.86
12000,55.86
12100,55.86
12200,55.86
12300,55.86
12400,55.86
12500,55.86
12600,55.86
12700,55.86
12800,55.86
12900,55.86
13000,55.86
13100,55.86
13200,55.86
13300,55.86
13400,55.86
13500,55.86
13600,55.86
13700,55.86
13800,55.86
13900,55.86
14000,55.86
14100,55.86
14200,55.86
14300,55.86
14400,55.86
14500,55.86
14600,55.86
14700,55.86
14800,55.86
14900,55.86
15000,55.86
15100,55.86
15200,55.86
