Iteracion,Profit
0,32423.36
100,32423.36
200,32423.36
300,32423.36
400,32423.36
500,32423.36
600,32423.36
700,32423.36
800,32423.36
900,32423.36
1000,32423.36
1100,32423.36
1200,32423.36
1300,32423.36
1400,32423.36
1500,32423.36
1600,32423.36
1700,32423.36
1800,32423.36
1900,32423.36
2000,32423.36
2100,32423.36
2200,32423.36
2300,32423.36
2400,30704.29
2500,30704.29
2600,30704.29
2700,30704.29
2800,30704.29
2900,30704.29
3000,30704.29
3100,30704.29
3200,30704.29
3300,30704.29
3400,30704.29
3500,30704.29
3600,30704.29
3700,30704.29
3800,30704.29
3900,30704.29
4000,30704.29
4100,30704.29
4200,30704.29
4300,30704.29
4400,30704.29
4500,30704.29
4600,30704.29
4700,30704.29
4800,30704.29
4900,30704.29
5000,30704.29
5100,33997.96
5200,36752.52
5300,37657.34
5400,41014.71
5500,40198.22
5600,42508.53
5700,42691.39
5800,42691.39
5900,44080.43
6000,44790.55
6100,43501.28
6200,43501.28
6300,43501.28
6400,43501.28
6500,45617.18
6600,46117.84
6700,46332.18
6800,47239.69
6900,47239.69
7000,47239.69
7100,47239.69
7200,47239.69
7300,47239.69
7400,47239.69
7500,47239.69
7600,47239.69
7700,47239.69
7800,47239.69
7900,47239.69
8000,47239.69
8100,47239.69
8200,47239.69
8300,47239.69
8400,47239.69
8500,47239.69
8600,46157.01
8700,46157.01
8800,46157.01
8900,46157.01
9000,46157.01
9100,46157.01
9200,46157.01
9300,46157.01
9400,46157.01
9500,46157.01
9600,46157.01
9700,46157.01
9800,46157.01
9900,46157.01
10000,46157.01
10100,46157.01
10200,46157.01
10300,46157.01
10400,46157.01
10500,46745.89
10600,46745.89
10700,46849.33
10800,46849.33
10900,46849.33
11000,46849.33
11100,46849.33
11200,46849.33
11300,46849.33
11400,46849.33
11500,46849.33
11600,46849.33
11700,46849.33
11800,46849.33
11900,46849.33
12000,46849.33
12100,46849.33
12200,46849.33
12300,46849.33
12400,46849.33
12500,46849.33
12600,46849.33
12700,46849.33
12800,46849.33
12900,46849.33
13000,46849.33
13100,46849.33
13200,46849.33
13300,46849.33
13400,46849.33
13500,46849.33
13600,46849.33
13700,46849.33
13800,46849.33
13900,46849.33
14000,46849.33
14100,46849.33
14200,46849.33
14300,46849.33
14400,46849.33
14500,46849.33
14600,46849.33
14700,46849.33
14800,46849.33
14900,46849.33
15000,46849.33
15100,46849.33
15200,46849.33
15300,46849.33
15400,46849.33
15500,46849.33
15600,46849.33
15700,46849.33
15800,46849.33
15900,46849.33
16000,46849.33
16100,46849.33
16200,46849.33
16300,46849.33
16400,46849.33
16500,46849.33
16600,46849.33
16700,46849.33
16800,46849.33
16900,46849.33
17000,46849.33
17100,46849.33
17200,46849.33
17300,46849.33
17400,46849.33
17500,46849.33
17600,46849.33
17700,46849.33
17800,46849.33
17900,46849.33
18000,46849.33
18100,46849.33
18200,46849.33
18300,46849.33
18400,46849.33
18500,46849.33
18600,46849.33
18700,46849.33
18800,46849.33
18900,46849.33
19000,46849.33
19100,46849.33
19200,46849.33
19300,46849.33
19400,46849.33
19500,46849.33
19600,46849.33
19700,46849.33
19800,46849.33
19900,46849.33
20000,46849.33
20100,47137.50
20200,47137.50
20300,47137.50
20400,47137.50
20500,47137.50
20600,47137.50
20700,47137.50
20800,47137.50
20900,47137.50
21000,47137.50
21100,47137.50
21200,47137.50
21300,47137.50
21400,47137.50
21500,47137.50
21600,47137.50
21700,47137.50
21800,47137.50
21900,47137.50
22000,47137.50
22100,47137.50
22200,47137.50
22300,47137.50
22400,47137.50
22500,47137.50
22600,47137.50
22700,47137.50
22800,47137.50
22900,47137.50
23000,47137.50
23100,47137.50
23200,47137.50
23300,47137.50
23400,47137.50
23500,47137.50
23600,47137.50
23700,47137.50
23800,47137.50
23900,47137.50
24000,47137.50
24100,47137.50
24200,47137.50
24300,47137.50
24400,47137.50
24500,47137.50
24600,47137.50
24700,47137.50
24800,47137.50
24900,47137.50
25000,47137.50
25100,47137.50
25200,47137.50
25300,47137.50
25400,47137.50
25500,47137.50
25600,47137.50
25700,47137.50
25800,47137.50
25900,47137.50
26000,47137.50
26100,47137.50
26200,47137.50
26300,47137.50
26400,47137.50
26500,47137.50
26600,47137.50
26700,47137.50
26800,47137.50
26900,47137.50
27000,47137.50
27100,47137.50
27200,47137.50
27300,47137.50
27400,47137.50
27500,47137.50
27600,47137.50
27700,47137.50
27800,47137.50
27900,47137.50
28000,47137.50
28100,47137.50
28200,47137.50
28300,47137.50
28400,47137.50
28500,47137.50
28600,47137.50
28700,47137.50
28800,47137.50
28900,47137.50
29000,47137.50
29100,47137.50
29200,47137.50
29300,47137.50
29400,47137.50
29500,47137.50
29600,47137.50
29700,47137.50
29800,47137.50
29900,47137.50
30000,47137.50
30100,47137.50
30200,47137.50
30300,47137.50
30400,47137.50
30500,47137.50
30600,47137.50
30700,47137.50
30800,47137.50
30900,47137.50
31000,47137.50
31100,47137.50
31200,47137.50
31300,47137.50
31400,47137.50
31500,47137.50
31600,47137.50
31700,47137.50
31800,47137.50
31900,47137.50
32000,47137.50
32100,47137.50
32200,47137.50
32300,47137.50
32400,47137.50
32500,47137.50
32600,47137.50
32700,47137.50
32800,47137.50
32900,47137.50
33000,47137.50
33100,47137.50
33200,47137.50
33300,47137.50
33400,47137.50
33500,47137.50
33600,47137.50
33700,47137.50
33800,47137.50
33900,47137.50
34000,47137.50
34100,47137.50
34200,47137.50
34300,47137.50
34400,47137.50
34500,47137.50
34600,47137.50
34700,47137.50
34800,47137.50
34900,47137.50
35000,47137.50
35100,47137.50
35200,47137.50
35300,47137.50
35400,47137.50
35500,47137.50
35600,47137.50
35700,47137.50
35800,47137.50
35900,47137.50
36000,47137.50
36100,47137.50
36200,47137.50
36300,47137.50
36400,47137.50
36500,47137.50
36600,47137.50
36700,47187.48
36800,47187.48
36900,47187.48
37000,47187.48
37100,47187.48
37200,47187.48
37300,47187.48
37400,47187.48
37500,47187.48
37600,47187.48
37700,47187.48
37800,47187.48
37900,47187.48
38000,47187.48
38100,47187.48
38200,47187.48
38300,47187.48
38400,47187.48
38500,47187.48
38600,47187.48
38700,47187.48
38800,47187.48
38900,47187.48
39000,47187.48
39100,47187.48
39200,47187.48
39300,47187.48
39400,47187.48
39500,47187.48
39600,47187.48
39700,47187.48
39800,47187.48
39900,47187.48
40000,47187.48
40100,47187.48
40200,47187.48
40300,47187.48
40400,47187.48
40500,47187.48
40600,47187.48
40700,47187.48
40800,47187.48
40900,47187.48
41000,47187.48
41100,47187.48
41200,47187.48
41300,47187.48
41400,47187.48
41500,47187.48
41600,47187.48
41700,47187.48
41800,47187.48
41900,47187.48
42000,47187.48
42100,47187.48
42200,47187.48
42300,47187.48
42400,47187.48
42500,47187.48
42600,47187.48
42700,47187.48
42800,47187.48
42900,47187.48
43000,47187.48
43100,47187.48
43200,47187.48
43300,47187.48
43400,47187.48
43500,47187.48
43600,47187.48
43700,47187.48
43800,47187.48
43900,47187.48
44000,47187.48
44100,47187.48
44200,47187.48
44300,47187.48
44400,47187.48
44500,47187.48
44600,47187.48
44700,47187.48
44800,47187.48
44900,47187.48
45000,47187.48
45100,47187.48
45200,47187.48
45300,47187.48
45400,47187.48
45500,47187.48
45600,47187.48
45700,47187.48
45800,47187.48
45900,47187.48
46000,47187.48
46100,47187.48
46200,47187.48
46300,47187.48
46400,47187.48
46500,47187.48
46600,47187.48
46700,47187.48
46800,47187.48
46900,47187.48
47000,47187.48
47100,47187.48
47200,47187.48
47300,47187.48
47400,47187.48
47500,47187.48
47600,47187.48
47700,47187.48
47800,47187.48
47900,47187.48
48000,47187.48
48100,47187.48
48200,47187.48
48300,47187.48
48400,47187.48
48500,47187.48
48600,47187.48
48700,47187.48
48800,47187.48
48900,47187.48
49000,47187.48
49100,47187.48
49200,47187.48
49300,47187.48
49400,47187.48
49500,47187.48
49600,47187.48
49700,47187.48
49800,47187.48
49900,47187.48
50000,47187.48
50100,47187.48
50200,47187.48
50300,47187.48
50400,47187.48
50500,47187.48
50600,47187.48
50700,47187.48
50800,47187.48
50900,47187.48
51000,47187.48
51100,47187.48
51200,47187.48
51300,47187.48
51400,47187.48
51500,47187.48
51600,47187.48
51700,47187.48
51800,47187.48
51900,47187.48
52000,47187.48
52100,47187.48
52200,47187.48
52300,47187.48
52400,47187.48
52500,47187.48
52600,47187.48
52700,47187.48
52800,47187.48
52900,47187.48
53000,47187.48
53100,47187.48
53200,47187.48
53300,47187.48
53400,47187.48
53500,47187.48
53600,47187.48
53700,47187.48
53800,47187.48
53900,47187.48
54000,47187.48
54100,47187.48
54200,47187.48
54300,47187.48
54400,47187.48
54500,47187.48
54600,47187.48
54700,47187.48
54800,47187.48
54900,47187.48
55000,47187.48
55100,47187.48
55200,47187.48
55300,47187.48
55400,47187.48
55500,47187.48
55600,47187.48
55700,47187.48
55800,47187.48
55900,47187.48
56000,47187.48
56100,47187.48
56200,47187.48
56300,47187.48
56400,47187.48
56500,47187.48
56600,47187.48
56700,47187.48
56800,47187.48
56900,47187.48
57000,47187.48
57100,47187.48
57200,47187.48
57300,47187.48
57400,47187.48
57500,47187.48
57600,47187.48
57700,47187.48
57800,47187.48
57900,47187.48
58000,47187.48
58100,47187.48
58200,47187.48
58300,47187.48
58400,47187.48
58500,47187.48
58600,47187.48
58700,47187.48
58800,47187.48
58900,47187.48
59000,47187.48
59100,47187.48
59200,47187.48
59300,47187.48
59400,47187.48
59500,47187.48
59600,47187.48
59700,47187.48
59800,47187.48
59900,47187.48
60000,47187.48
60100,47187.48
60200,47187.48
60300,47187.48
60400,47187.48
60500,47187.48
60600,47187.48
60700,47187.48
60800,47187.48
60900,47187.48
61000,47187.48
61100,47187.48
61200,47187.48
61300,47187.48
61400,47187.48
61500,47187.48
61600,47187.48
61700,47187.48
61800,47187.48
61900,47187.48
62000,47187.48
62100,47187.48
62200,47187.48
62300,47187.48
62400,47187.48
62500,47187.48
62600,47187.48
62700,47187.48
62800,47187.48
62900,47187.48
63000,47187.48
63100,47187.48
63200,47187.48
63300,47187.48
63400,47187.48
63500,47187.48
63600,47187.48
63700,47187.48
63800,47187.48
63900,47187.48
64000,47187.48
64100,47187.48
64200,47187.48
64300,47187.48
64400,47187.48
64500,47187.48
64600,47187.48
64700,47187.48
64800,47187.48
64900,47187.48
65000,47187.48
65100,47187.48
65200,47187.48
65300,47187.48
65400,47187.48
65500,47187.48
65600,47187.48
65700,47187.48
65800,47187.48
65900,47187.48
66000,47187.48
66100,47187.48
66200,47187.48
66300,47187.48
66400,47187.48
66500,47187.48
66600,47187.48
66700,47187.48
66800,47187.48
66900,47187.48
67000,47187.48
67100,47187.48
67200,47187.48
67300,47187.48
67400,47187.48
67500,47187.48
67600,47187.48
67700,47187.48
67800,47187.48
67900,47187.48
68000,47187.48
68100,47187.48
68200,47187.48
68300,47187.48
68400,47187.48
68500,47187.48
68600,47187.48
68700,47187.48
68800,47187.48
68900,47187.48
69000,47187.48
69100,47187.48
69200,47187.48
69300,47187.48
69400,47187.48
69500,47187.48
69600,47187.48
69700,47187.48
69800,47187.48
69900,47187.48
70000,47187.48
70100,47187.48
70200,47187.48
70300,47187.48
70400,47187.48
70500,47187.48
70600,47187.48
70700,47187.48
70800,47187.48
70900,47187.48
71000,47187.48
71100,47187.48
71200,47187.48
71300,47187.48
71400,47187.48
71500,47187.48
71600,47187.48
71700,47187.48
71800,47187.48
71900,47187.48
72000,47187.48
72100,47187.48
72200,47187.48
72300,47187.48
72400,47187.48
72500,47187.48
72600,47187.48
72700,47187.48
72800,47187.48
72900,47187.48
73000,47187.48
73100,47187.48
73200,47187.48
73300,47187.48
73400,47187.48
73500,47187.48
73600,47187.48
73700,47187.48
73800,47187.48
73900,47187.48
74000,47187.48
74100,47187.48
74200,47187.48
74300,47187.48
74400,47187.48
74500,47187.48
74600,47187.48
74700,47187.48
74800,47187.48
74900,47187.48
75000,47187.48
75100,47187.48
75200,47187.48
75300,47187.48
75400,47187.48
75500,47187.48
75600,47187.48
75700,47187.48
75800,47187.48
75900,47187.48
76000,47187.48
76100,47187.48
76200,47187.48
76300,47187.48
76400,47187.48
76500,47187.48
76600,47187.48
76700,47187.48
76800,47187.48
76900,47187.48
77000,47187.48
77100,47187.48
77200,47187.48
77300,47187.48
77400,47187.48
77500,47187.48
77600,47187.48
77700,47187.48
77800,47187.48
77900,47187.48
78000,47187.48
78100,47187.48
78200,47187.48
78300,47187.48
78400,47187.48
78500,47187.48
78600,47187.48
78700,47187.48
78800,47187.48
78900,47187.48
79000,47187.48
79100,47187.48
79200,47187.48
79300,47187.48
79400,47187.48
79500,47187.48
79600,47187.48
79700,47187.48
79800,47187.48
79900,47187.48
80000,47187.48
80100,47187.48
80200,47187.48
80300,47187.48
80400,47187.48
80500,47187.48
80600,47187.48
80700,47187.48
80800,47187.48
80900,47187.48
81000,47187.48
81100,47187.48
81200,47187.48
81300,47187.48
81400,47187.48
81500,47187.48
81600,47187.48
81700,47187.48
81800,47187.48
81900,47187.48
82000,47187.48
82100,47187.48
82200,47187.48
82300,47187.48
82400,47187.48
82500,47187.48
82600,47187.48
82700,47187.48
82800,47187.48
82900,47187.48
83000,47187.48
83100,47187.48
83200,47187.48
83300,47187.48
83400,47187.48
83500,47187.48
83600,47187.48
83700,47187.48
83800,47187.48
83900,47187.48
84000,47187.48
84100,47187.48
84200,47187.48
84300,47187.48
84400,47187.48
84500,47187.48
84600,47187.48
84700,47187.48
84800,47192.14
84900,47192.14
85000,47192.14
85100,47192.14
85200,47192.14
85300,47192.14
85400,47192.14
85500,47192.14
85600,47192.14
85700,47192.14
85800,47192.14
85900,47192.14
86000,47192.14
86100,47192.14
86200,47192.14
86300,47192.14
86400,47192.14
86500,47192.14
86600,47192.14
86700,47192.14
86800,47192.14
86900,47192.14
87000,47192.14
87100,47192.14
87200,47192.14
87300,47192.14
87400,47192.14
87500,47192.14
87600,47192.14
87700,47192.14
87800,47192.14
87900,47192.14
88000,47192.14
88100,47192.14
88200,47192.14
88300,47192.14
88400,47192.14
88500,47192.14
88600,47192.14
88700,47192.14
88800,47192.14
88900,47192.14
89000,47192.14
89100,47192.14
89200,47192.14
89300,47192.14
89400,47192.14
89500,47192.14
89600,47192.14
89700,47192.14
89800,47192.14
89900,47192.14
90000,47192.14
90100,47192.14
90200,47192.14
90300,47192.14
90400,47192.14
90500,47192.14
90600,47192.14
90700,47192.14
90800,47192.14
90900,47192.14
91000,47192.14
91100,47192.14
91200,47192.14
91300,47192.14
91400,47192.14
91500,47192.14
91600,47192.14
91700,47192.14
91800,47192.14
91900,47192.14
92000,47192.14
92100,47192.14
92200,47192.14
92300,47192.14
92400,47192.14
92500,47192.14
92600,47192.14
92700,47192.14
92800,47192.14
92900,47192.14
93000,47192.14
93100,47192.14
93200,47192.14
93300,47192.14
93400,47192.14
93500,47192.14
93600,47192.14
93700,47192.14
93800,47192.14
93900,47192.14
94000,47192.14
94100,47192.14
94200,47192.14
94300,47192.14
94400,47192.14
94500,47192.14
94600,47192.14
94700,47192.14
94800,47192.14
94900,47192.14
95000,47192.14
95100,47192.14
95200,47192.14
95300,47192.14
95400,47192.14
95500,47192.14
95600,47192.14
95700,47192.14
95800,47192.14
95900,47192.14
96000,47192.14
96100,47192.14
96200,47192.14
96300,47192.14
96400,47192.14
96500,47192.14
96600,47192.14
96700,47192.14
96800,47192.14
