Iteracion,Profit
0,18966.72
100,18966.72
200,18966.72
300,18966.72
400,18966.72
500,18966.72
600,18966.72
700,18966.72
800,18966.72
900,18105.74
1000,19003.18
1100,21273.83
1200,23208.91
1300,23582.09
1400,23582.09
1500,23582.09
1600,23582.09
1700,23582.09
1800,23582.09
1900,23582.09
2000,23582.09
2100,23582.09
2200,23582.09
2300,23582.09
2400,23582.09
2500,23582.09
2600,23582.09
2700,23582.09
2800,23582.09
2900,23582.09
3000,23582.09
3100,23582.09
3200,23582.09
3300,23582.09
3400,24051.14
3500,24051.14
3600,24051.14
3700,24051.14
3800,24051.14
3900,24051.14
4000,24051.14
4100,24051.14
4200,24051.14
4300,24051.14
4400,24051.14
4500,24051.14
4600,24051.14
4700,24051.14
4800,24051.14
4900,24051.14
5000,24051.14
5100,24051.14
5200,24051.14
5300,24051.14
5400,24051.14
5500,24051.14
5600,24051.14
5700,24051.14
5800,24051.14
5900,24051.14
6000,24051.14
6100,24051.14
6200,24051.14
6300,24051.14
6400,24051.14
6500,24051.14
6600,24051.14
6700,24051.14
6800,24051.14
6900,24051.14
7000,24051.14
7100,24051.14
7200,24051.14
7300,24051.14
7400,24051.14
7500,24051.14
7600,24051.14
7700,24051.14
7800,24051.14
7900,24051.14
8000,24051.14
8100,24051.14
8200,24051.14
8300,24051.14
8400,24051.14
8500,24051.14
8600,24051.14
8700,24051.14
8800,24051.14
8900,24051.14
9000,24051.14
9100,24051.14
9200,24051.14
9300,24051.14
9400,24051.14
9500,24051.14
9600,24051.14
9700,24051.14
9800,24051.14
9900,24051.14
10000,24051.14
10100,24051.14
10200,24051.14
10300,24051.14
10400,24051.14
10500,24051.14
10600,24051.14
10700,24051.14
10800,24051.14
10900,24051.14
11000,24051.14
11100,24051.14
11200,24051.14
11300,24051.14
11400,24051.14
11500,24051.14
11600,24051.14
11700,24051.14
11800,24051.14
11900,24051.14
12000,24051.14
12100,24051.14
12200,24051.14
12300,24051.14
12400,24051.14
12500,24051.14
12600,24051.14
12700,24051.14
12800,24051.14
12900,24051.14
13000,24051.14
13100,24051.14
13200,24051.14
13300,24051.14
13400,24051.14
13500,24051.14
13600,24051.14
13700,24051.14
13800,24051.14
13900,24051.14
14000,24051.14
14100,24051.14
14200,24051.14
14300,24051.14
14400,24051.14
14500,24051.14
14600,24051.14
14700,24051.14
14800,24051.14
14900,24051.14
15000,24051.14
15100,24051.14
15200,24051.14
15300,24051.14
15400,24051.14
15500,24051.14
15600,24051.14
15700,24051.14
15800,24051.14
15900,24051.14
16000,24051.14
16100,24051.14
16200,24051.14
16300,24051.14
16400,24051.14
16500,24051.14
16600,24051.14
16700,24051.14
16800,24051.14
16900,24051.14
17000,24051.14
17100,24051.14
17200,24051.14
17300,24051.14
17400,24051.14
17500,24051.14
17600,24051.14
17700,24051.14
17800,24051.14
17900,24051.14
18000,24051.14
18100,24051.14
18200,24051.14
18300,24051.14
18400,24051.14
18500,24051.14
18600,24051.14
18700,24051.14
18800,24051.14
18900,24051.14
19000,24051.14
19100,24051.14
19200,24051.14
19300,24051.14
19400,24051.14
19500,24051.14
19600,24051.14
19700,24051.14
19800,24051.14
19900,24051.14
20000,24051.14
20100,24051.14
20200,24051.14
20300,24051.14
20400,24474.50
20500,24474.50
20600,24474.50
20700,24474.50
20800,24474.50
20900,24474.50
21000,24474.50
21100,24474.50
21200,24474.50
21300,24474.50
21400,24474.50
21500,24474.50
21600,24474.50
21700,24474.50
21800,24474.50
21900,24474.50
22000,24474.50
22100,24474.50
22200,24474.50
22300,24474.50
22400,24474.50
22500,24474.50
