Iteracion,Profit
0,32719.31
100,32719.31
200,32719.31
300,32719.31
400,32719.31
500,32719.31
600,32719.31
700,32719.31
800,32719.31
900,32719.31
1000,32719.31
1100,32719.31
1200,32719.31
1300,32719.31
1400,32719.31
1500,32719.31
1600,32719.31
1700,32719.31
1800,32719.31
1900,32719.31
2000,32719.31
2100,32719.31
2200,32719.31
2300,32719.31
2400,32719.31
2500,32719.31
2600,32719.31
2700,32719.31
2800,32719.31
2900,32719.31
3000,32719.31
3100,32719.31
3200,32719.31
3300,32719.31
3400,32719.31
3500,32719.31
3600,32719.31
3700,32719.31
3800,32719.31
3900,32719.31
4000,32719.31
4100,32719.31
4200,32719.31
4300,32719.31
4400,32719.31
4500,32719.31
4600,32719.31
4700,32719.31
4800,32719.31
4900,32719.31
5000,32719.31
5100,32719.31
5200,32719.31
5300,32719.31
5400,32719.31
5500,32719.31
5600,32719.31
5700,32719.31
5800,32719.31
5900,32719.31
6000,32719.31
6100,32719.31
6200,32719.31
6300,32719.31
6400,32719.31
6500,32719.31
6600,32719.31
6700,32719.31
6800,32719.31
6900,32719.31
7000,32719.31
7100,32719.31
7200,32719.31
7300,32719.31
7400,32719.31
7500,32719.31
7600,32719.31
7700,32719.31
7800,32719.31
7900,32719.31
8000,32719.31
8100,32719.31
8200,32719.31
8300,32719.31
8400,32719.31
8500,32719.31
8600,32719.31
8700,32719.31
8800,32719.31
8900,32719.31
9000,32719.31
9100,32719.31
9200,32719.31
9300,32719.31
9400,32719.31
9500,32719.31
9600,32719.31
9700,32719.31
9800,32719.31
9900,32719.31
10000,32719.31
10100,32719.31
10200,32719.31
10300,32719.31
10400,32719.31
10500,32719.31
10600,32719.31
10700,32719.31
10800,32719.31
10900,32719.31
11000,32719.31
11100,32719.31
11200,32719.31
11300,32719.31
11400,32719.31
11500,32719.31
11600,32719.31
11700,32719.31
11800,32719.31
11900,32719.31
12000,32719.31
12100,32719.31
12200,32719.31
12300,32719.31
12400,32719.31
12500,32719.31
12600,32719.31
12700,32719.31
12800,32719.31
12900,32719.31
13000,32719.31
13100,32719.31
13200,32719.31
13300,32719.31
13400,32719.31
13500,32719.31
13600,32719.31
13700,32719.31
13800,32719.31
13900,32719.31
14000,32719.31
14100,32719.31
14200,32719.31
14300,32719.31
14400,32719.31
14500,32719.31
14600,32719.31
14700,32719.31
14800,32719.31
14900,32719.31
15000,32719.31
15100,32719.31
15200,32719.31
15300,32719.31
15400,32719.31
15500,32719.31
15600,32719.31
