Iteracion,Profit
0,33835.83
100,33835.83
200,33835.83
300,33835.83
400,33835.83
500,33835.83
600,33835.83
700,33835.83
800,33835.83
900,33835.83
1000,33835.83
1100,33835.83
1200,33835.83
1300,33835.83
1400,33835.83
1500,33835.83
1600,33835.83
1700,33835.83
1800,33835.83
1900,33835.83
2000,33835.83
2100,33835.83
2200,33835.83
2300,33835.83
2400,33835.83
2500,33835.83
2600,33835.83
2700,33835.83
2800,33835.83
2900,33835.83
3000,33835.83
3100,33835.83
3200,33835.83
3300,33835.83
3400,33835.83
3500,33835.83
3600,33835.83
3700,33835.83
3800,33835.83
3900,33835.83
4000,33835.83
4100,33835.83
4200,33835.83
4300,33835.83
4400,33835.83
4500,33835.83
4600,33835.83
4700,33835.83
4800,33835.83
4900,33835.83
5000,33835.83
5100,33835.83
5200,33835.83
5300,33835.83
5400,33835.83
5500,33835.83
5600,33835.83
5700,33835.83
5800,33835.83
5900,33835.83
6000,33835.83
6100,33835.83
6200,33835.83
6300,33835.83
6400,33835.83
6500,33835.83
6600,33835.83
6700,33835.83
6800,33835.83
6900,33835.83
7000,33835.83
7100,33835.83
7200,33835.83
7300,33835.83
7400,33835.83
7500,33835.83
7600,33835.83
7700,33835.83
7800,33835.83
7900,33835.83
8000,33835.83
8100,33835.83
8200,33835.83
8300,33835.83
8400,33835.83
8500,33835.83
8600,33835.83
8700,33835.83
8800,33835.83
8900,33835.83
9000,33835.83
9100,33835.83
9200,33835.83
9300,33835.83
9400,33835.83
9500,33835.83
9600,33835.83
9700,33835.83
9800,33835.83
9900,33835.83
10000,33835.83
10100,33835.83
10200,33835.83
10300,33835.83
10400,33835.83
10500,33835.83
10600,33835.83
10700,33835.83
10800,33835.83
10900,33835.83
11000,33835.83
11100,33835.83
11200,33835.83
11300,33835.83
11400,33835.83
11500,33835.83
11600,33835.83
11700,33835.83
11800,33835.83
11900,33835.83
12000,33835.83
12100,33835.83
12200,33835.83
12300,33835.83
12400,33835.83
12500,33835.83
12600,33835.83
12700,33835.83
12800,33835.83
12900,33835.83
13000,33835.83
13100,33835.83
13200,33835.83
13300,33835.83
13400,33835.83
13500,33835.83
13600,33835.83
13700,33835.83
13800,33835.83
13900,33835.83
14000,33835.83
14100,33835.83
14200,33835.83
14300,33835.83
14400,33835.83
14500,33835.83
14600,33835.83
14700,33835.83
14800,33835.83
14900,33835.83
15000,33835.83
15100,33835.83
15200,33835.83
15300,33835.83
15400,33835.83
15500,33835.83
15600,33835.83
15700,33835.83
15800,33835.83
15900,33835.83
16000,33835.83
16100,33835.83
16200,33835.83
16300,33835.83
16400,33835.83
16500,33835.83
16600,33835.83
16700,33835.83
16800,33835.83
16900,33835.83
17000,33835.83
17100,33835.83
17200,33835.83
17300,33835.83
